System Name (click + for details),Scenario,Model MLC,eta
PRIMERGY CDI (8x H100NVL TensorRT),Server,gptj-99.9,36412.98265624107
PRIMERGY CDI (8x H100NVL TensorRT),Server,llama2-70b-interactive-99.9,27364.583399361836
PRIMERGY CDI (8x H100NVL TensorRT),Offline,rgat,289330.4810555147
PRIMERGY CDI (8x H100NVL TensorRT),Offline,retinanet,28146.362906955386
PRIMERGY CDI (8x H100NVL TensorRT),Offline,3d-unet-99,111.31279250526386
PRIMERGY CDI (8x H100NVL TensorRT),Server,llama2-70b-99,41454.65104363338
PRIMERGY CDI (8x H100NVL TensorRT),Offline,llama2-70b-interactive-99.9,39387.026977657675
PRIMERGY CDI (8x H100NVL TensorRT),Offline,3d-unet-99.9,111.31279250526386
PRIMERGY CDI (8x H100NVL TensorRT),Server,retinanet,25928.70479914054
PRIMERGY CDI (8x H100NVL TensorRT),Offline,llama2-70b-interactive-99,39387.026977657675
PRIMERGY CDI (8x H100NVL TensorRT),Offline,mixtral-8x7b,93245.25409183785
PRIMERGY CDI (8x H100NVL TensorRT),Server,mixtral-8x7b,91826.50433518959
PRIMERGY CDI (8x H100NVL TensorRT),Server,llama2-70b-99.9,41454.65104363338
PRIMERGY CDI (8x H100NVL TensorRT),Server,gptj-99,36412.98265624107
PRIMERGY CDI (8x H100NVL TensorRT),Offline,gptj-99,36499.07065981912
PRIMERGY CDI (8x H100NVL TensorRT),Offline,llama2-70b-99.9,44875.842179761945
PRIMERGY CDI (8x H100NVL TensorRT),Server,llama2-70b-interactive-99,27364.583399361836
PRIMERGY CDI (8x H100NVL TensorRT),Offline,llama2-70b-99,44875.842179761945
PRIMERGY CDI (8x H100NVL TensorRT),Offline,gptj-99.9,36499.07065981912
