grid_size,steps,seed,initial_bytes,final_bytes,elapsed_s,energy_J,delta_bits,eta_bits_per_J
50,25,0,585,516,0.002434,0.158195,552,3489.3535
50,25,1,589,458,0.002159,0.140343,1048,7467.4344
50,25,2,579,499,0.002121,0.137879,640,4641.7627
50,25,3,578,436,0.002049,0.133198,1136,8528.6246
50,25,4,586,502,0.002055,0.13357,672,5031.0536
50,50,0,585,457,0.004137,0.268908,1024,3808.0002
50,50,1,589,422,0.004058,0.263778,1336,5064.8657
50,50,2,579,465,0.004127,0.268257,912,3399.7291
50,50,3,578,402,0.004092,0.265979,1408,5293.6595
50,50,4,586,484,0.004079,0.265142,816,3077.5993
50,100,0,585,377,0.008424,0.547563,1664,3038.9206
50,100,1,589,344,0.008201,0.533073,1960,3676.7951
50,100,2,579,329,0.008236,0.535336,2000,3735.9746
50,100,3,578,423,0.008219,0.534235,1240,2321.0749
50,100,4,586,363,0.008234,0.535212,1784,3333.2613
50,200,0,585,358,0.016218,1.054182,1816,1722.6626
50,200,1,589,284,0.016347,1.062566,2440,2296.3279
50,200,2,579,282,0.01675,1.088756,2376,2182.3065
50,200,3,578,379,0.016327,1.061264,1592,1500.0976
50,200,4,586,353,0.016363,1.063604,1864,1752.5314
50,400,0,585,233,0.032744,2.128371,2816,1323.0776
50,400,1,589,226,0.033188,2.157227,2904,1346.1728
50,400,2,579,311,0.032644,2.121862,2144,1010.4332
50,400,3,578,255,0.032716,2.126527,2584,1215.1269
50,400,4,586,265,0.032682,2.124326,2568,1208.8539
100,25,0,1821,1542,0.003245,0.210932,2232,10581.5845
100,25,1,1837,1661,0.003239,0.210545,1408,6687.4045
100,25,2,1828,1574,0.003331,0.216511,2032,9385.1833
100,25,3,1819,1649,0.003268,0.21242,1360,6402.4035
100,25,4,1835,1568,0.003248,0.211118,2136,10117.5426
100,50,0,1821,1493,0.006621,0.430373,2624,6097.0374
100,50,1,1837,1414,0.006492,0.421973,3384,8019.4616
100,50,2,1828,1299,0.006602,0.429133,4232,9861.7404
100,50,3,1819,1404,0.006535,0.424778,3320,7815.8388
100,50,4,1835,1434,0.00656,0.426406,3208,7523.3521
100,100,0,1821,1248,0.013009,0.845574,4584,5421.1686
100,100,1,1837,1293,0.013054,0.848519,4352,5128.9388
100,100,2,1828,1167,0.012993,0.844536,5288,6261.4277
100,100,3,1819,1146,0.013004,0.845249,5384,6369.7229
100,100,4,1835,1227,0.013012,0.845791,4864,5750.829
100,200,0,1821,1209,0.026122,1.697952,4896,2883.4745
100,200,1,1837,1092,0.026208,1.703531,5960,3498.6164
100,200,2,1828,947,0.026121,1.697874,7048,4151.0735
100,200,3,1819,996,0.026105,1.696805,6584,3880.2343
100,200,4,1835,1089,0.026235,1.705266,5968,3499.7468
100,400,0,1821,951,0.052921,3.439869,6960,2023.333
100,400,1,1837,897,0.052363,3.40359,7520,2209.432
100,400,2,1828,706,0.052352,3.402892,8976,2637.7561
100,400,3,1819,768,0.05264,3.421597,8408,2457.3317
100,400,4,1835,1002,0.052895,3.438164,6664,1938.2438
200,25,0,6584,6046,0.009276,0.60295,4304,7138.2387
200,25,1,6611,5952,0.008202,0.533135,5272,9888.6785
200,25,2,6600,6042,0.008322,0.54093,4464,8252.4536
200,25,3,6585,5853,0.00808,0.5252,5856,11150.0303
200,25,4,6609,6078,0.008034,0.522209,4248,8134.6677
200,50,0,6584,4829,0.01624,1.055592,14040,13300.5896
200,50,1,6611,4879,0.016175,1.051393,13856,13178.7123
200,50,2,6600,5303,0.01621,1.05364,10376,9847.7691
200,50,3,6585,4973,0.016139,1.049037,12896,12293.1796
200,50,4,6609,5123,0.016455,1.069586,11888,11114.5779
200,100,0,6584,4144,0.032493,2.112052,19520,9242.1948
200,100,1,6611,4248,0.032609,2.119584,18904,8918.7309
200,100,2,6600,4297,0.032476,2.110937,18424,8727.8792
200,100,3,6585,4310,0.03265,2.12225,18200,8575.8056
200,100,4,6609,4276,0.032464,2.110162,18664,8844.8195
200,200,0,6584,3779,0.06638,4.314702,22440,5200.8232
200,200,1,6611,3619,0.066113,4.297345,23936,5569.9512
200,200,2,6600,3563,0.065714,4.271402,24296,5688.0617
200,200,3,6585,3442,0.065716,4.271542,25144,5886.3991
200,200,4,6609,3581,0.065562,4.261531,24224,5684.3426
200,400,0,6584,2844,0.132143,8.589296,29920,3483.4053
200,400,1,6611,2588,0.132197,8.592799,32184,3745.4619
200,400,2,6600,2911,0.13328,8.663203,29512,3406.5924
200,400,3,6585,2811,0.133036,8.647333,30192,3491.481
200,400,4,6609,3423,0.133864,8.701155,25488,2929.2662
400,25,0,24644,23122,0.031298,2.034349,12176,5985.2058
400,25,1,24701,23265,0.033097,2.151291,11488,5340.0484
400,25,2,24650,22729,0.031932,2.075572,15368,7404.2239
400,25,3,24631,22798,0.031888,2.072705,14664,7074.8128
400,25,4,24635,23135,0.034663,2.253077,12000,5326.0496
400,50,0,24644,19480,0.062906,4.088892,41312,10103.4712
400,50,1,24701,19721,0.06582,4.278283,39840,9312.1467
400,50,2,24650,19759,0.06422,4.174297,39128,9373.5547
400,50,3,24631,19454,0.060179,3.911635,41416,10587.9008
400,50,4,24635,19833,0.059931,3.895502,38416,9861.6299
400,100,0,24644,16638,0.133221,8.659375,64048,7396.377
400,100,1,24701,17206,0.135777,8.825505,59960,6793.9457
400,100,2,24650,16510,0.13237,8.604065,65120,7568.5154
400,100,3,24631,16440,0.142638,9.271468,65528,7067.705
400,100,4,24635,15925,0.1394,9.061,69680,7690.1001
400,200,0,24644,13374,0.272141,17.689164,90160,5096.9057
400,200,1,24701,14768,0.273806,17.797381,79464,4464.9267
400,200,2,24650,13482,0.272082,17.685336,89344,5051.869
400,200,3,24631,13969,0.268764,17.469646,85296,4882.526
400,200,4,24635,14007,0.288349,18.742679,85024,4536.3845
400,400,0,24644,11181,0.520171,33.81111,107704,3185.4618
400,400,1,24701,11892,0.555935,36.135769,102472,2835.7498
400,400,2,24650,11660,0.53398,34.708693,103920,2994.0626
400,400,3,24631,10840,0.749503,48.717704,110328,2264.6388
400,400,4,24635,12363,0.584625,38.00061,98176,2583.5375
800,25,0,96278,91783,0.217233,14.120141,35960,2546.7167
800,25,1,96400,91570,0.208375,13.544374,38640,2852.8451
800,25,2,96290,92150,0.2238,14.546996,33120,2276.7587
800,25,3,96248,92314,0.211269,13.732479,31472,2291.7931
800,25,4,96283,91851,0.208336,13.541847,35456,2618.2543
800,50,0,96278,77443,0.425551,27.660795,150680,5447.4211
800,50,1,96400,78505,0.416008,27.04052,143160,5294.2769
800,50,2,96290,77050,0.416046,27.042999,153920,5691.6764
800,50,3,96248,79157,0.446547,29.025557,136728,4710.6073
800,50,4,96283,79267,0.440667,28.643365,136128,4752.5143
800,100,0,96278,65914,0.86546,56.25491,242912,4318.0586
800,100,1,96400,65804,0.928922,60.37991,244768,4053.7987
800,100,2,96290,65256,0.903113,58.702353,248272,4229.3364
800,100,3,96248,67691,0.838033,54.472142,228456,4193.997
800,100,4,96283,66749,0.87884,57.124583,236272,4136.0827
800,200,0,96278,54810,1.822466,118.460283,331744,2800.466
800,200,1,96400,54865,1.698231,110.385029,332280,3010.1908
800,200,2,96290,55593,1.658338,107.791959,325576,3020.4108
800,200,3,96248,54812,1.74457,113.397036,331488,2923.251
800,200,4,96283,54216,1.725502,112.157631,336536,3000.5627
800,400,0,96278,47525,3.305499,214.857424,390024,1815.2689
800,400,1,96400,47162,3.332946,216.641494,393904,1818.2297
800,400,2,96290,46727,3.427936,222.81583,396504,1779.5145
800,400,3,96248,45665,3.427113,222.762364,404664,1816.5726
800,400,4,96283,47184,3.3975,220.837487,392792,1778.6473
